Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,TimeOccurrence
23,2020-02-01 10:00:00,2020-01-01 22:00:00,01-01-2020 22:03,10,507,17,69,0,0,1,13,0,,22:03
24,2020-03-01 09:00:00,2020-01-01 23:00:00,01-01-2020 23:40,4,322,19,77,0,4,1,18,0,,23:40
25,2020-03-01 01:00:00,2020-01-02 00:00:00,02-01-2020 20:47,2,527,6,18,0,4,1,1,0,,20:47
26,2020-02-01 16:00:00,2020-01-02 01:00:00,02-01-2020 08:21,10,282,1,60,1,2,3,15,1,2020-03-12 16:00:00,08:21
27,2020-02-01 06:00:00,2020-01-02 02:00:00,02-01-2020 04:02,21,247,11,49,1,0,3,13,0,,04:02
28,2020-02-01 15:00:00,2020-01-02 03:00:00,02-01-2020 20:11,14,489,14,41,0,6,1,7,0,,20:11
29,2020-04-01 14:00:00,2020-01-02 04:00:00,02-01-2020 19:56,2,387,19,33,0,1,1,19,0,,19:56
30,2020-04-01 23:00:00,2020-01-02 05:00:00,02-01-2020 09:35,3,517,2,37,0,6,1,4,0,,09:35
31,2020-03-01 07:00:00,2020-01-02 06:00:00,02-01-2020 13:06,3,570,10,32,0,1,1,13,0,,13:06
32,2020-04-01 13:00:00,2020-01-02 07:00:00,02-01-2020 15:05,8,222,19,60,1,3,1,3,1,2020-03-18 13:00:00,15:05
33,2020-03-01 04:00:00,2020-01-02 08:00:00,03-01-2020 03:01,5,319,12,73,0,3,1,19,0,,03:01
34,2020-05-01 07:00:00,2020-01-02 09:00:00,03-01-2020 02:40,20,575,20,24,0,1,3,6,0,,02:40
35,2020-04-01 21:00:00,2020-01-02 10:00:00,02-01-2020 22:18,12,341,19,34,0,4,1,14,0,,22:18
36,2020-04-01 21:00:00,2020-01-02 11:00:00,02-01-2020 17:48,4,396,3,32,0,0,1,11,0,,17:48
37,2020-03-01 05:00:00,2020-01-02 12:00:00,03-01-2020 00:18,14,187,16,33,0,0,3,9,1,2020-07-02 05:00:00,00:18
38,2020-04-01 05:00:00,2020-01-02 13:00:00,02-01-2020 18:04,26,280,17,22,0,1,1,14,0,,18:04
39,2020-03-01 23:00:00,2020-01-02 14:00:00,02-01-2020 21:24,24,487,20,32,0,6,3,13,1,2020-03-11 23:00:00,21:24
40,2020-03-01 02:00:00,2020-01-02 15:00:00,03-01-2020 14:05,17,154,9,69,0,1,1,10,1,2020-01-15 02:00:00,14:05
41,2020-05-01 01:00:00,2020-01-02 16:00:00,03-01-2020 01:51,28,148,10,28,0,2,1,2,0,,01:51
42,2020-03-01 11:00:00,2020-01-02 17:00:00,03-01-2020 11:09,24,583,12,42,1,0,1,6,0,,11:09
43,2020-03-01 03:00:00,2020-01-02 18:00:00,03-01-2020 09:30,5,172,8,40,1,5,0,10,1,2020-03-17 03:00:00,09:30
44,2020-04-01 07:00:00,2020-01-02 19:00:00,03-01-2020 08:34,17,300,16,44,1,4,3,7,0,,08:34
45,2020-05-01 19:00:00,2020-01-02 20:00:00,03-01-2020 06:22,13,387,0,44,0,0,0,10,1,2020-01-12 19:00:00,06:22
46,2020-04-01 19:00:00,2020-01-02 21:00:00,03-01-2020 09:02,20,297,6,67,1,3,1,8,0,,09:02
47,2020-05-01 04:00:00,2020-01-02 22:00:00,03-01-2020 09:55,5,555,15,47,0,6,3,9,0,,09:55
48,2020-05-01 17:00:00,2020-01-02 23:00:00,03-01-2020 03:42,14,128,8,38,0,0,0,14,1,2020-03-14 17:00:00,03:42
49,2020-05-01 19:00:00,2020-01-03 00:00:00,03-01-2020 02:59,10,139,12,77,0,2,1,17,0,,02:59
50,2020-03-01 13:00:00,2020-01-03 01:00:00,03-01-2020 06:06,8,561,6,37,0,0,1,7,0,,06:06
51,2020-03-01 05:00:00,2020-01-03 02:00:00,03-01-2020 17:10,18,573,2,54,0,4,1,12,1,2020-04-13 05:00:00,17:10
52,2020-05-01 12:00:00,2020-01-03 03:00:00,03-01-2020 19:13,13,260,2,38,0,0,1,5,1,2020-04-14 12:00:00,19:13
53,2020-05-01 00:00:00,2020-01-03 04:00:00,03-01-2020 22:01,7,211,14,29,1,5,1,15,1,2020-01-20 00:00:00,22:01
54,2020-05-01 10:00:00,2020-01-03 05:00:00,03-01-2020 18:47,5,312,2,75,1,1,1,2,0,,18:47
55,2020-06-01 02:00:00,2020-01-03 06:00:00,03-01-2020 07:47,21,548,8,61,0,5,0,5,0,,07:47
56,2020-04-01 04:00:00,2020-01-03 07:00:00,03-01-2020 11:11,16,596,2,49,0,6,1,19,0,,11:11
57,2020-06-01 01:00:00,2020-01-03 08:00:00,03-01-2020 20:16,12,188,16,67,0,2,3,8,1,2020-07-20 01:00:00,20:16
58,2020-03-01 18:00:00,2020-01-03 09:00:00,03-01-2020 09:43,1,110,1,70,0,6,3,15,0,,09:43
59,2020-04-01 14:00:00,2020-01-03 10:00:00,04-01-2020 02:40,4,449,18,75,0,0,2,16,0,,02:40
60,2020-05-01 18:00:00,2020-01-03 11:00:00,04-01-2020 05:33,25,352,17,53,0,4,1,6,1,2020-03-31 18:00:00,05:33
61,2020-03-01 22:00:00,2020-01-03 12:00:00,03-01-2020 15:04,17,196,17,16,1,5,1,10,0,,15:04
62,2020-05-01 21:00:00,2020-01-03 13:00:00,04-01-2020 03:32,24,359,6,30,1,1,1,9,1,2020-02-09 21:00:00,03:32
63,2020-03-01 20:00:00,2020-01-03 14:00:00,04-01-2020 09:27,4,495,9,56,1,1,1,5,1,2020-03-15 20:00:00,09:27
64,2020-06-01 06:00:00,2020-01-03 15:00:00,03-01-2020 23:24,25,259,12,19,0,0,1,16,1,2020-03-20 06:00:00,23:24
65,2020-05-01 18:00:00,2020-01-03 16:00:00,04-01-2020 00:59,28,289,6,58,0,1,1,19,0,,00:59
66,2020-06-01 14:00:00,2020-01-03 17:00:00,04-01-2020 11:49,14,409,7,45,0,4,1,3,1,2020-03-15 14:00:00,11:49
67,2020-03-01 21:00:00,2020-01-03 18:00:00,04-01-2020 17:48,3,306,4,25,1,6,1,6,0,,17:48
68,2020-04-01 20:00:00,2020-01-03 19:00:00,04-01-2020 08:46,28,420,2,22,1,3,1,17,1,2020-05-02 20:00:00,08:46
69,2020-06-01 09:00:00,2020-01-03 20:00:00,04-01-2020 02:24,8,469,14,59,0,1,1,8,1,2020-01-17 09:00:00,02:24
70,2020-06-01 12:00:00,2020-01-03 21:00:00,04-01-2020 17:23,28,292,8,31,0,2,0,1,0,,17:23
71,2020-06-01 20:00:00,2020-01-03 22:00:00,04-01-2020 00:50,13,512,8,58,0,5,0,6,0,,00:50
72,2020-05-01 18:00:00,2020-01-03 23:00:00,04-01-2020 11:34,18,244,0,53,0,3,0,1,1,2020-03-23 18:00:00,11:34
73,2020-05-01 21:00:00,2020-01-04 00:00:00,04-01-2020 07:58,14,269,2,35,0,0,1,2,0,,07:58
74,2020-06-01 05:00:00,2020-01-04 01:00:00,04-01-2020 03:01,4,524,0,36,1,2,0,5,1,2020-01-20 05:00:00,03:01
75,2020-05-01 02:00:00,2020-01-04 02:00:00,05-01-2020 01:45,1,404,4,70,0,3,1,18,0,,01:45
76,2020-06-01 00:00:00,2020-01-04 03:00:00,04-01-2020 20:57,5,191,19,52,1,1,1,7,1,2020-01-26 00:00:00,20:57
77,2020-04-01 22:00:00,2020-01-04 04:00:00,04-01-2020 14:30,17,369,13,25,0,1,1,14,0,,14:30
78,2020-05-01 21:00:00,2020-01-04 05:00:00,04-01-2020 17:02,9,517,11,58,0,3,3,10,1,2020-03-29 21:00:00,17:02
79,2020-05-01 20:00:00,2020-01-04 06:00:00,05-01-2020 03:40,17,229,15,39,0,5,3,4,0,,03:40
80,2020-07-01 03:00:00,2020-01-04 07:00:00,04-01-2020 23:54,28,154,20,54,0,6,3,15,1,2020-01-15 03:00:00,23:54
81,2020-05-01 03:00:00,2020-01-04 08:00:00,04-01-2020 23:33,5,197,1,61,0,3,3,10,1,2020-03-04 03:00:00,23:33
82,2020-06-01 05:00:00,2020-01-04 09:00:00,04-01-2020 15:37,10,421,9,16,0,1,1,17,0,,15:37
83,2020-06-01 12:00:00,2020-01-04 10:00:00,05-01-2020 09:17,17,305,15,25,0,2,3,14,1,2020-03-21 12:00:00,09:17
84,2020-04-01 19:00:00,2020-01-04 11:00:00,05-01-2020 06:13,13,150,18,72,0,0,2,9,1,2020-01-20 19:00:00,06:13
85,2020-05-01 18:00:00,2020-01-04 12:00:00,04-01-2020 12:40,14,542,14,48,1,2,1,3,0,,12:40
86,2020-06-01 17:00:00,2020-01-04 13:00:00,05-01-2020 06:42,17,438,19,22,1,4,1,5,1,2020-03-11 17:00:00,06:42
87,2020-07-01 06:00:00,2020-01-04 14:00:00,04-01-2020 16:00,14,498,14,30,0,2,1,10,1,2020-01-18 06:00:00,16:00
88,2020-07-01 03:00:00,2020-01-04 15:00:00,04-01-2020 22:04,22,345,15,11,0,2,3,1,0,,22:04
89,2020-06-01 22:00:00,2020-01-04 16:00:00,04-01-2020 21:21,17,108,10,16,0,3,1,6,0,,21:21
90,2020-06-01 18:00:00,2020-01-04 17:00:00,05-01-2020 06:38,8,219,20,73,0,0,3,12,0,,06:38
91,2020-05-01 04:00:00,2020-01-04 18:00:00,05-01-2020 17:15,13,219,2,72,0,5,1,9,0,,17:15
92,2020-04-01 20:00:00,2020-01-04 19:00:00,05-01-2020 09:21,10,510,4,60,0,6,1,7,0,,09:21
93,2020-05-01 16:00:00,2020-01-04 20:00:00,05-01-2020 07:36,8,597,9,53,1,6,1,13,1,2020-04-01 16:00:00,07:36
94,2020-06-01 21:00:00,2020-01-04 21:00:00,05-01-2020 08:12,17,272,16,42,0,2,3,3,0,,08:12
95,2020-06-01 08:00:00,2020-01-04 22:00:00,04-01-2020 22:16,27,413,14,10,1,2,1,11,0,,22:16
96,2020-06-01 08:00:00,2020-01-04 23:00:00,05-01-2020 14:10,8,355,6,51,0,0,1,7,0,,14:10
97,2020-06-01 02:00:00,2020-01-05 00:00:00,05-01-2020 15:36,18,523,11,26,0,1,3,5,1,2020-02-12 02:00:00,15:36
98,2020-06-01 17:00:00,2020-01-05 01:00:00,05-01-2020 02:56,13,486,16,71,1,0,3,6,0,,02:56
99,2020-06-01 23:00:00,2020-01-05 02:00:00,05-01-2020 14:38,8,292,11,74,0,1,3,15,1,2020-01-23 23:00:00,14:38
100,2020-06-01 20:00:00,2020-01-05 03:00:00,05-01-2020 06:41,8,455,6,13,0,4,1,13,1,2020-01-22 20:00:00,06:41
101,2020-06-01 23:00:00,2020-01-05 04:00:00,05-01-2020 14:02,1,515,14,50,0,3,1,1,1,2020-01-14 23:00:00,14:02
102,2020-05-01 16:00:00,2020-01-05 05:00:00,05-01-2020 22:34,17,566,7,69,0,1,1,18,0,,22:34
103,2020-07-01 00:00:00,2020-01-05 06:00:00,05-01-2020 17:43,12,419,1,34,0,4,3,6,0,,17:43
104,2020-07-01 16:00:00,2020-01-05 07:00:00,05-01-2020 14:13,17,250,20,38,0,5,3,14,1,2020-02-19 16:00:00,14:13
105,2020-06-01 23:00:00,2020-01-05 08:00:00,05-01-2020 19:30,14,597,9,44,0,0,1,16,0,,19:30
106,2020-06-01 00:00:00,2020-01-05 09:00:00,05-01-2020 10:05,8,583,20,69,0,6,3,12,1,2020-02-22 00:00:00,10:05
107,2020-05-01 11:00:00,2020-01-05 10:00:00,05-01-2020 17:21,14,342,5,12,0,0,3,1,0,,17:21
108,2020-07-01 12:00:00,2020-01-05 11:00:00,06-01-2020 09:35,2,417,0,21,0,5,0,3,1,2020-02-09 12:00:00,09:35
109,2020-07-01 20:00:00,2020-01-05 12:00:00,06-01-2020 00:07,4,169,14,55,0,0,1,8,0,,00:07
110,2020-05-01 17:00:00,2020-01-05 13:00:00,05-01-2020 23:32,5,464,0,15,0,4,0,9,0,,23:32
111,2020-07-01 04:00:00,2020-01-05 14:00:00,05-01-2020 23:24,28,500,12,58,0,1,1,5,1,2020-02-16 04:00:00,23:24
112,2020-08-01 05:00:00,2020-01-05 15:00:00,06-01-2020 07:02,5,183,3,37,0,6,1,6,0,,07:02
113,2020-07-01 09:00:00,2020-01-05 16:00:00,06-01-2020 14:55,2,270,10,49,0,3,1,7,1,2021-11-08 09:00:00,14:55
114,2020-06-01 15:00:00,2020-01-05 17:00:00,06-01-2020 06:42,24,259,7,30,1,5,1,5,0,,06:42
115,2020-07-01 13:00:00,2020-01-05 18:00:00,06-01-2020 08:02,21,184,8,50,0,0,0,15,1,2020-02-03 13:00:00,08:02
116,2020-05-01 20:00:00,2020-01-05 19:00:00,06-01-2020 06:26,17,353,2,64,0,3,1,10,0,,06:26
117,2020-07-01 04:00:00,2020-01-05 20:00:00,06-01-2020 10:15,14,235,19,43,1,5,1,14,1,2020-03-13 04:00:00,10:15
118,2020-06-01 20:00:00,2020-01-05 21:00:00,06-01-2020 02:16,5,287,6,32,1,1,1,13,1,2020-03-30 20:00:00,02:16
119,2020-07-01 19:00:00,2020-01-05 22:00:00,05-01-2020 23:48,17,257,12,14,1,5,1,3,1,2020-02-27 19:00:00,23:48
120,2020-07-01 02:00:00,2020-01-05 23:00:00,06-01-2020 07:04,21,537,18,70,1,6,2,3,1,2020-01-27 02:00:00,07:04
121,2020-07-01 14:00:00,2020-01-06 00:00:00,06-01-2020 12:16,1,277,20,78,0,2,3,10,1,2020-01-22 14:00:00,12:16
122,2020-08-01 19:00:00,2020-01-06 01:00:00,06-01-2020 22:59,5,321,13,22,0,4,1,19,1,2020-04-06 19:00:00,22:59
123,2020-06-01 04:00:00,2020-01-06 02:00:00,07-01-2020 00:00,3,432,19,60,0,6,1,4,0,,00:00
124,2020-08-01 23:00:00,2020-01-06 03:00:00,06-01-2020 06:56,15,129,16,44,0,0,3,2,0,,06:56
125,2020-09-01 00:00:00,2020-01-06 04:00:00,06-01-2020 19:19,21,347,9,30,1,3,1,14,0,,19:19
126,2020-09-01 02:00:00,2020-01-06 05:00:00,06-01-2020 05:15,21,127,1,62,0,6,3,10,0,,05:15
127,2020-07-01 07:00:00,2020-01-06 06:00:00,07-01-2020 00:44,24,117,8,42,0,6,0,8,0,,00:44
128,2020-07-01 04:00:00,2020-01-06 07:00:00,07-01-2020 02:17,7,339,11,73,0,3,3,2,1,2020-04-01 04:00:00,02:17
129,2020-09-01 04:00:00,2020-01-06 08:00:00,06-01-2020 12:39,12,374,17,25,1,1,1,15,0,,12:39
130,2020-08-01 14:00:00,2020-01-06 09:00:00,06-01-2020 14:55,7,111,15,33,1,4,3,3,1,2020-05-20 14:00:00,14:55
131,2020-08-01 13:00:00,2020-01-06 10:00:00,06-01-2020 19:26,0,331,0,13,0,5,0,19,0,,19:26
132,2020-07-01 04:00:00,2020-01-06 11:00:00,07-01-2020 06:55,14,295,11,39,0,3,3,8,0,,06:55
133,2020-06-01 23:00:00,2020-01-06 12:00:00,06-01-2020 19:17,2,309,10,18,1,6,1,2,0,,19:17
134,2020-06-01 22:00:00,2020-01-06 13:00:00,07-01-2020 00:56,14,465,12,75,0,3,1,8,0,,00:56
135,2020-06-01 18:00:00,2020-01-06 14:00:00,07-01-2020 07:26,5,406,19,50,0,4,1,15,0,,07:26
136,2020-09-01 07:00:00,2020-01-06 15:00:00,07-01-2020 02:16,5,278,9,71,0,4,1,7,0,,02:16
137,2020-07-01 23:00:00,2020-01-06 16:00:00,07-01-2020 01:01,1,569,14,38,0,1,1,12,1,2020-01-23 23:00:00,01:01
138,2020-08-01 12:00:00,2020-01-06 17:00:00,06-01-2020 20:11,17,445,1,12,1,0,3,6,0,,20:11
139,2020-08-01 17:00:00,2020-01-06 18:00:00,07-01-2020 07:11,12,465,13,57,0,4,1,2,0,,07:11
140,2020-08-01 16:00:00,2020-01-06 19:00:00,07-01-2020 01:17,10,404,4,47,0,2,1,16,1,2020-02-06 16:00:00,01:17
141,2020-08-01 13:00:00,2020-01-06 20:00:00,07-01-2020 14:13,5,270,5,73,0,4,3,14,0,,14:13
142,2020-07-01 23:00:00,2020-01-06 21:00:00,07-01-2020 06:34,17,113,8,41,0,0,0,4,1,2020-03-27 23:00:00,06:34
143,2020-07-01 09:00:00,2020-01-06 22:00:00,07-01-2020 12:37,17,278,12,45,0,6,1,2,0,,12:37
144,2020-07-01 06:00:00,2020-01-06 23:00:00,07-01-2020 16:49,26,487,1,79,0,2,3,14,1,2020-02-04 06:00:00,16:49
145,2020-08-01 20:00:00,2020-01-07 00:00:00,07-01-2020 03:38,15,172,11,17,1,2,3,10,0,,03:38
146,2020-08-01 01:00:00,2020-01-07 01:00:00,07-01-2020 16:44,13,165,14,15,0,3,1,16,0,,16:44
147,2020-07-01 16:00:00,2020-01-07 02:00:00,07-01-2020 18:49,16,514,4,44,0,4,1,6,1,2020-01-26 16:00:00,18:49
148,2020-07-01 16:00:00,2020-01-07 03:00:00,07-01-2020 22:27,2,262,3,28,0,3,1,8,0,,22:27
149,2020-07-01 06:00:00,2020-01-07 04:00:00,08-01-2020 01:09,0,558,11,41,0,6,3,5,1,2020-02-27 06:00:00,01:09
150,2020-07-01 08:00:00,2020-01-07 05:00:00,07-01-2020 11:19,20,157,17,46,0,3,1,1,1,2020-04-03 08:00:00,11:19
151,2020-08-01 08:00:00,2020-01-07 06:00:00,07-01-2020 13:59,3,241,6,35,0,0,1,3,1,2020-03-27 08:00:00,13:59
152,2020-07-01 08:00:00,2020-01-07 07:00:00,07-01-2020 16:17,2,311,12,67,1,6,1,16,0,,16:17
153,2020-08-01 01:00:00,2020-01-07 08:00:00,07-01-2020 17:21,5,248,11,23,0,3,3,16,0,,17:21
154,2020-09-01 16:00:00,2020-01-07 09:00:00,07-01-2020 19:49,4,523,13,39,0,4,1,11,0,,19:49
155,2020-10-01 06:00:00,2020-01-07 10:00:00,07-01-2020 19:37,2,238,5,48,0,0,3,5,0,,19:37
156,2020-10-01 05:00:00,2020-01-07 11:00:00,07-01-2020 12:05,21,109,5,71,0,0,3,14,1,2020-04-02 05:00:00,12:05
157,2020-07-01 13:00:00,2020-01-07 12:00:00,07-01-2020 13:48,8,448,3,32,0,4,1,8,0,,13:48
158,2020-08-01 16:00:00,2020-01-07 13:00:00,08-01-2020 03:32,1,588,10,18,0,2,1,13,0,,03:32
159,2020-09-01 18:00:00,2020-01-07 14:00:00,08-01-2020 06:49,5,236,20,38,0,5,3,15,1,2020-02-08 18:00:00,06:49
160,2020-07-01 19:00:00,2020-01-07 15:00:00,08-01-2020 14:26,13,509,1,27,0,0,3,17,1,2020-03-22 19:00:00,14:26
161,2020-09-01 03:00:00,2020-01-07 16:00:00,08-01-2020 09:21,16,321,3,30,0,3,1,13,1,2020-02-19 03:00:00,09:21
162,2020-07-01 21:00:00,2020-01-07 17:00:00,07-01-2020 17:22,24,420,4,17,0,6,1,12,0,,17:22
163,2020-09-01 16:00:00,2020-01-07 18:00:00,08-01-2020 09:50,21,589,17,39,0,3,1,15,0,,09:50
164,2020-08-01 20:00:00,2020-01-07 19:00:00,08-01-2020 02:04,21,492,0,66,0,2,0,5,0,,02:04
165,2020-10-01 00:00:00,2020-01-07 20:00:00,08-01-2020 06:07,7,312,16,11,0,2,3,9,1,2020-12-23 00:00:00,06:07
166,2020-10-01 14:00:00,2020-01-07 21:00:00,08-01-2020 00:42,1,234,19,54,1,2,1,19,1,2020-03-10 14:00:00,00:42
167,2020-08-01 16:00:00,2020-01-07 22:00:00,08-01-2020 05:25,5,470,19,79,1,1,1,13,1,2020-01-27 16:00:00,05:25
168,2020-08-01 22:00:00,2020-01-07 23:00:00,08-01-2020 02:01,5,518,9,12,0,2,1,3,1,2020-03-04 22:00:00,02:01
169,2020-08-01 16:00:00,2020-01-08 00:00:00,08-01-2020 00:14,14,295,6,19,0,0,1,16,0,,00:14
170,2020-10-01 07:00:00,2020-01-08 01:00:00,08-01-2020 05:22,11,342,18,21,0,3,2,8,1,2020-01-17 07:00:00,05:22
171,2020-09-01 11:00:00,2020-01-08 02:00:00,08-01-2020 18:43,0,352,3,24,1,6,1,14,1,2020-03-11 11:00:00,18:43
172,2020-08-01 15:00:00,2020-01-08 03:00:00,09-01-2020 01:57,10,305,18,58,1,5,2,4,0,,01:57
173,2020-11-01 03:00:00,2020-01-08 04:00:00,08-01-2020 13:20,8,245,16,51,0,0,3,17,1,2021-10-29 03:00:00,13:20
174,2020-09-01 20:00:00,2020-01-08 05:00:00,09-01-2020 01:34,9,438,6,40,0,6,1,7,0,,01:34
175,2020-09-01 00:00:00,2020-01-08 06:00:00,08-01-2020 10:27,24,144,15,64,1,0,3,13,1,2020-06-15 00:00:00,10:27
176,2020-09-01 23:00:00,2020-01-08 07:00:00,08-01-2020 22:06,14,292,2,66,0,6,1,14,1,2020-06-28 23:00:00,22:06
177,2020-08-01 14:00:00,2020-01-08 08:00:00,09-01-2020 02:25,4,134,8,28,0,2,0,8,1,2020-03-21 14:00:00,02:25
178,2020-09-01 15:00:00,2020-01-08 09:00:00,08-01-2020 16:59,17,331,12,54,0,6,1,11,0,,16:59
179,2020-10-01 12:00:00,2020-01-08 10:00:00,09-01-2020 07:31,0,191,9,42,0,3,1,8,0,,07:31
180,2020-10-01 01:00:00,2020-01-08 11:00:00,09-01-2020 02:31,21,584,5,72,1,0,3,14,1,2020-01-23 01:00:00,02:31
181,2020-10-01 18:00:00,2020-01-08 12:00:00,09-01-2020 07:34,2,341,18,23,0,5,2,1,0,,07:34
182,2020-10-01 13:00:00,2020-01-08 13:00:00,09-01-2020 12:16,17,541,4,53,0,5,1,9,0,,12:16
183,2020-10-01 09:00:00,2020-01-08 14:00:00,08-01-2020 17:18,1,133,16,28,0,2,3,12,1,2021-05-09 09:00:00,17:18
184,2020-10-01 04:00:00,2020-01-08 15:00:00,08-01-2020 23:28,8,422,16,27,0,6,3,4,0,,23:28
185,2020-08-01 19:00:00,2020-01-08 16:00:00,08-01-2020 17:27,17,151,9,67,0,4,1,19,1,2020-03-03 19:00:00,17:27
186,2020-11-01 15:00:00,2020-01-08 17:00:00,09-01-2020 08:32,2,287,9,70,0,4,1,8,1,2020-03-12 15:00:00,08:32
187,2020-09-01 09:00:00,2020-01-08 18:00:00,09-01-2020 10:28,5,541,19,75,0,0,1,4,1,2020-02-13 09:00:00,10:28
188,2020-09-01 18:00:00,2020-01-08 19:00:00,09-01-2020 18:53,18,236,11,66,0,6,3,14,1,2020-03-15 18:00:00,18:53
189,2020-09-01 04:00:00,2020-01-08 20:00:00,09-01-2020 03:24,8,415,7,24,0,3,1,2,1,2020-03-23 04:00:00,03:24
190,2020-11-01 05:00:00,2020-01-08 21:00:00,08-01-2020 21:24,4,151,4,44,1,1,1,15,1,2020-02-12 05:00:00,21:24
191,2020-09-01 15:00:00,2020-01-08 22:00:00,09-01-2020 15:53,4,268,13,63,0,3,1,9,0,,15:53
192,2020-09-01 02:00:00,2020-01-08 23:00:00,09-01-2020 20:39,5,381,11,18,1,0,3,11,1,2020-01-20 02:00:00,20:39
193,2020-10-01 20:00:00,2020-01-09 00:00:00,09-01-2020 05:28,7,249,14,19,0,6,1,3,0,,05:28
194,2020-09-01 09:00:00,2020-01-09 01:00:00,09-01-2020 04:00,10,389,5,49,1,6,3,12,1,2020-03-06 09:00:00,04:00
195,2020-11-01 16:00:00,2020-01-09 02:00:00,09-01-2020 08:16,5,235,12,33,0,5,1,12,0,,08:16
196,2020-10-01 04:00:00,2020-01-09 03:00:00,10-01-2020 00:18,14,562,5,56,1,4,3,4,1,2020-02-14 04:00:00,00:18
197,2020-10-01 10:00:00,2020-01-09 04:00:00,09-01-2020 15:55,1,287,14,32,1,1,1,1,1,2020-01-24 10:00:00,15:55
198,2020-11-01 17:00:00,2020-01-09 05:00:00,09-01-2020 10:20,8,316,7,25,0,1,1,10,1,2020-01-22 17:00:00,10:20
199,2020-10-01 09:00:00,2020-01-09 06:00:00,09-01-2020 21:01,5,367,0,62,0,2,0,3,0,,21:01
200,2020-11-01 13:00:00,2020-01-09 07:00:00,10-01-2020 02:06,19,471,10,56,0,0,1,4,0,,02:06
201,2020-11-01 23:00:00,2020-01-09 08:00:00,10-01-2020 04:27,23,365,3,27,0,0,1,8,1,2020-02-05 23:00:00,04:27
202,2020-12-01 08:00:00,2020-01-09 09:00:00,09-01-2020 18:52,18,484,9,63,1,1,1,13,0,,18:52
203,2020-10-01 04:00:00,2020-01-09 10:00:00,09-01-2020 12:58,17,257,6,34,0,0,1,2,1,2020-03-15 04:00:00,12:58
